GRADO / GRADUA;IKASTURTEA / CURSO;GRUPO;HIZKUNTZA / LENGUA;IRAKASGAIA / ASIGNATURA
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);2;16;CASTELLANO;FRANCÉS III
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);3;16;CASTELLANO;CULTURA FRANCESA CLÁSICA
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);4;16;CASTELLANO;CULTURA Y CIVILIZACIONES FRANCÓFONAS
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);1;16;CASTELLANO;LITERATURA HISPÁNICA MEDIEVAL
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);2;16;CASTELLANO;LENGUA ESPAÑOLA I: FONÉTICA Y FONOLOGÍA
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);3;16;CASTELLANO;LENGUA ESPAÑOLA III: LEXICOLOGÍA Y SEMÁNTICA
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);4;16;CASTELLANO;LENGUA ESPAÑOLA IV: ANÁLISIS DEL DISCURSO
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;1;16;CASTELLANO;CARTOGRAFÍA BÁSICA
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;2;46;EUSKERA;GEOGRAFIA INFORMAZIOKO SISTEMAK
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;3;31;EUSKERA;HIRI GEOGRAFIA
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;4;1;CASTELLANO;INGURUNE FISIKOAREN PLANGINTZA
HISTORIA / HISTORIA;1;16;CASTELLANO;SOCIEDADES CAZADORAS Y RECOLECTORAS EN LA PREHISTORIA
HISTORIA / HISTORIA;1;46A;EUSKERA;HISTORIAURREKO GIZARTE EHIZTARIAK ETA BILTZAILEAK
HISTORIA / HISTORIA;1;46B;EUSKERA;HISTORIAURREKO GIZARTE EHIZTARIAK ETA BILTZAILEAK
HISTORIA / HISTORIA;2;46;EUSKERA;ARKEOLOGIA
HISTORIA / HISTORIA;2;16;CASTELLANO;ARQUEOLOGÍA
HISTORIA / HISTORIA;3;31;EUSKERA;ERDI AROAREN HISTORIA II: EUROPA FEUDALA
HISTORIA / HISTORIA;3;1;CASTELLANO;HISTORIA MEDIEVAL II: EUROPA FEUDAL
HISTORIA / HISTORIA;4;1;CASTELLANO;PREHISTORIA DE LA PENINSULA IBERICA
HISTORIA / HISTORIA;4;31;EUSKERA;IBERIAR PENINTSULAREN HISTORIAURREA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;1;46;EUSKERA;EKIALDE HURBILEKO ARTEAREN HISTORIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;1;16;CASTELLANO;HISTORIA DEL ARTE DEL PRÓXIMO ORIENTE
HISTORIA DEL ARTE / ARTEAREN HISTORIA;2;46;EUSKERA;GOI ERDI AROKO ARTEAREN HISTORIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;2;16;CASTELLANO;HISTORIA DEL ARTE EN LA ALTA EDAD MEDIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;3;1;CASTELLANO;HISTORIA DEL ARTE DE LA ILUSTRACIÓN Y SIGLO XIX
HISTORIA DEL ARTE / ARTEAREN HISTORIA;3;31;EUSKERA;ILUSTRAZIOKO ETA XIX. MENDEKO ARTEAREN HISTORIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;4;1;CASTELLANO;INTRODUCCIÓN A LA CONSERVACIÓN DE BIENES ARTÍSTICOS
HISTORIA DEL ARTE / ARTEAREN HISTORIA;4;31;EUSKERA;ONDASUN ARTISTIKOEN KONTSERBAZIORAKO SARRERA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;1;1;CASTELLANO;INFORMACIÓN Y DOCUMENTACIÓN PARA TRADUCTORES E INTÉRPRETES
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;1;31;EUSKERA;ITZULTZAILE - INTERPRETEENTZAKO INFORMAZIOA ETA DOKUMENTAZIOA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;2;1;CASTELLANO;TEORÍA Y MODALIDADES DE LA INTERPRETACIÓN
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;2;31;EUSKERA;INTERPRETAZIOAREN TEORIA ETA MODALITATEAK
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;3;46;EUSKERA;A HIZKUNTZAREN TERMINOLOGIA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;3;16;CASTELLANO;TERMINOLOGÍA DE LA LENGUA A
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;4;16;CASTELLANO;HISTORIA DE LA TRADUCCION A LA LENGUA A
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;4;46;EUSKERA;A HIZKUNTZARAKO ITZULPENGINTZAREN HISTORIA
